,countryname,year,general government final consumption expenditure (Current $USD)
1463,Saudi Arabia,2008,92026133333.3333
1464,Singapore,2008,19580394374.1607
1465,Thailand,2008,41790005793.4819
1466,Turkey,2008,104754288666.923
1467,United States,2008,2353440000000.0
1468,Vietnam,2008,5576162799.61355
1469,South Africa,2008,53971513387.8855
1470,United Arab Emirates,2009,25948399046.9707
1471,Argentina,2009,52956236298.6285
1472,Australia,2009,170436607274.334
1473,Brazil,2009,327580029758.928
1474,Canada,2009,301930714723.121
1475,Switzerland,2009,63095060196.6731
1476,China,2009,752653036610.358
1477,Germany,2009,681969101698.828
1478,"Egypt, Arab Rep",2009,21470054446.461
1479,Spain,2009,307835454419.922
1480,France,2009,650395412014.843
1481,United Kingdom,2009,531657579062.159
1482,Indonesia,2009,51741295652.6447
1483,India,2009,153775741830.844
1484,"Iran, Islamic Rep",2009,46562847681.4352
1485,Italy,2009,454915260806.64
1486,Japan,2009,1022656810241.73
1487,"Korea, Rep",2009,138387852114.055
1488,Mexico,2009,107258079032.079
1489,Malaysia,2009,26391544899.9858
1490,Netherlands,2009,226574035739.062
1491,Philippines,2009,17292328506.681
1492,Russian Federation,2009,254146135524.442
1493,Saudi Arabia,2009,95203929306.6667
1494,Singapore,2009,19279271227.2259
1495,Thailand,2009,45017470789.6564
1496,Turkey,2009,101662186064.516
1497,United States,2009,2433429000000.0
1498,Vietnam,2009,6125958963.23577
1499,South Africa,2009,58675047771.3396
1500,United Arab Emirates,2010,29068775901.9741
1501,Argentina,2010,64237667185.0303
1502,Australia,2010,215429401920.197
1503,Brazil,2010,420057981014.097
1504,Canada,2010,347331886872.437
1505,Switzerland,2010,66973176610.6931
1506,China,2010,887935846990.532
1507,Germany,2010,665084211616.668
1508,"Egypt, Arab Rep",2010,24446460980.0363
1509,Spain,2010,293422195550.001
1510,France,2010,634560911083.335
1511,United Kingdom,2010,536534428025.437
1512,Indonesia,2010,68003138200.244
1513,India,2010,184445165510.006
1514,"Iran, Islamic Rep",2010,52597324346.9577
1515,Italy,2010,439032285633.334
1516,Japan,2010,1105891299116.11
1517,"Korea, Rep",2010,162512791280.045
1518,Mexico,2010,124517633586.578
1519,Malaysia,2010,32084070659.0916
1520,Netherlands,2010,222381016533.334
1521,Philippines,2010,20254263677.2136
1522,Russian Federation,2010,285541641009.092
1523,Saudi Arabia,2010,106712736808.325
1524,Singapore,2010,23241290795.7462
1525,Thailand,2010,53897341703.0395
1526,Turkey,2010,115574214200.16
1527,United States,2010,2511046000000.0
1528,Vietnam,2010,15284351431.0683
1529,South Africa,2010,75109284707.425
1530,United Arab Emirates,2011,34902893995.9156
1531,Argentina,2011,83177086713.2187
1532,Australia,2011,259842255742.877
1533,Brazil,2011,488425394488.283
1534,Canada,2011,379214461589.188
1535,Switzerland,2011,80720477997.4407
1536,China,2011,1150762904737.29
1537,Germany,2011,714991735214.009
1538,"Egypt, Arab Rep",2011,27022375215.1463
1539,Spain,2011,306088176206.226
1540,France,2011,680318129863.815
1541,United Kingdom,2011,558447677256.163
1542,Indonesia,2011,80891188808.1972
1543,India,2011,202075268929.395
1544,"Iran, Islamic Rep",2011,82654791071.1108
1545,Italy,2011,454776836322.958
1546,Japan,2011,1239486203193.64
1547,"Korea, Rep",2011,180121467977.621
1548,Mexico,2011,139027241473.683
1549,Malaysia,2011,39540196078.4314
1550,Netherlands,2011,233439247645.915
1551,Philippines,2011,22750971119.592
1552,Russian Federation,2011,360604853942.68
1553,Saudi Arabia,2011,130149866666.667
1554,Singapore,2011,25803227858.1651
1555,Thailand,2011,59856813493.5081
1556,Turkey,2011,114074713731.343
1557,United States,2011,2511311000000.0
1558,Vietnam,2011,17226569314.5943
1559,South Africa,2011,83370421575.2434
1560,United Arab Emirates,2012,36449312457.454
1561,Argentina,2012,90881156804.3051
1562,Australia,2012,291073417199.423
1563,Brazil,2012,456802006912.088
1564,Canada,2012,385014582980.598
1565,Switzerland,2012,77667949612.3326
