,countryname,year,exchange rate (to $USD),import (thousand $USD),export (thousand $USD),countrycode,GDP(current $USD),general government final consumption expenditure (Current $USD)
611,United Kingdom,2012,0.63304698,16801246.807,46296692.725,GBR,2706340967030.68,562787607035.431
612,Indonesia,2012,9386.6289,31935986.395,34285243.915,IDN,917869910105.749,84891845511.3152
613,India,2012,53.437233,18797190.537,47677451.834,IND,1827637859506.25,195262201308.237
614,"Iran, Islamic Rep",2012,12175.547,,,IRN,644035510447.901,85836409799.2937
615,Italy,2012,0.77833813,16064755.279,25656013.136,ITA,2086957656821.6,413385894330.469
616,Japan,2012,79.790459,177832335.544,151626580.721,JPN,6272362996105.03,1251796339273.82
617,"Korea, Rep",2012,1126.8066,,,KOR,1278427634342.59,187748142251.002
618,Mexico,2012,13.169458,9161024.573,27517962.691,MEX,1201089987015.45,143491025627.397
619,Malaysia,2012,3.0888009,58304935.012,36525700.292,MYS,314443149443.149,43525641025.641
620,Netherlands,2012,0.77833813,8703962.287,58898784.96,NLD,838923319919.531,218343410841.797
621,Philippines,2012,42.228794,19643205.303,16732210.058,PHL,261920509950.555,28266846742.0339
622,Russian Federation,2012,30.83983,44138278.872,44056551.091,RUS,2208295773643.15,396769758558.745
623,Saudi Arabia,2012,3.75,54861126.276,18452900.814,SAU,735974843348.664,146980941226.027
624,Singapore,2012,1.2496762,28529562.909,40750209.041,SGP,295087220933.024,26138433223.9738
625,Thailand,2012,31.083092,38551206.04,31196768.378,THA,397558222957.17,65012627440.6349
626,Turkey,2012,1.796001,3511810.027,15585293.352,TUR,880556375779.51,124388475779.51
627,United States,2012,1.0,133765823.048,352438221.016,USA,16253972230000.0,2515439000000.0
628,Vietnam,2012,20828.0,16229125.413,34212586.98,VNM,195590647205.685,20429808911.0812
629,South Africa,2012,8.2099686,44653737.21,15323311.517,ZAF,434400545085.811,81756551200.38
630,United Arab Emirates,2013,3.6724999,12823525.641,33411294.711,ARE,400218529747.597,42851083185.8407
631,Argentina,2013,5.4593525,6085768.453,8750429.703,ARG,552025140252.246,92774657769.3512
632,Australia,2013,1.0358431,98954088.026,37554163.21,AUS,1576380424746.08,295898225094.901
633,Brazil,2013,2.1560891,54299122.653,35895471.244,BRA,2472806919901.67,467174528175.873
634,Canada,2013,1.0301374,25236970.65,29216715.384,CAN,1846597421834.98,382325710984.663
635,Switzerland,2013,0.92690355,56191550.342,3529136.223,CHE,706234937370.968,80599621374.5016
636,China,2013,6.1957583,,,CHN,9570406235659.64,1520164847101.26
637,Germany,2013,0.75294513,94156749.71,67342500.439,DEU,3733804649549.03,732980377134.904
638,"Egypt, Arab Rep",2013,6.8703251,,,EGY,288434108527.132,32744186046.5116
639,Spain,2013,0.75294513,5971877.584,18931672.371,ESP,1355579535912.55,269848351325.883
640,France,2013,0.75294513,23119289.346,26948465.912,FRA,2811876903329.03,677990977839.218
641,United Kingdom,2013,0.6396606,19078787.545,50942127.633,GBR,2786315215249.95,561025663546.284
642,Indonesia,2013,10461.24,31424278.6,36930489.821,IDN,912524136718.018,86851491925.0873
643,India,2013,58.597847,16970269.592,48432411.237,IND,1856722121394.42,191152515788.76
644,"Iran, Islamic Rep",2013,18414.447,,,IRN,492775565649.562,63932402314.714
645,Italy,2013,0.75294513,17573805.1,25752660.052,ITA,2141924094298.56,424255354565.099
646,Japan,2013,97.595657,162245572.78,150132588.978,JPN,5212328181166.18,1034874929709.26
647,"Korea, Rep",2013,1094.9825,,,KOR,1370795199976.18,205297716250.283
648,Mexico,2013,12.771992,10238485.563,28966299.976,MEX,1274443084716.57,155372292279.987
649,Malaysia,2013,3.1509085,60153183.872,45930593.403,MYS,323277158906.979,44338760354.1845
650,Netherlands,2013,0.75294513,9824959.2,60314751.572,NLD,877172824534.512,226213033147.452
651,Philippines,2013,42.446186,18181829.139,19868125.345,PHL,283902728260.716,30709630412.1453
652,Russian Federation,2013,31.837143,39667828.205,49591171.963,RUS,2292473246621.08,428126305473.803
653,Saudi Arabia,2013,3.75,53450710.541,18739813.766,SAU,746647127407.619,167605866666.667
654,Singapore,2013,1.2513,30064514.713,45831864.575,SGP,307576360584.992,29970910253.3365
655,Thailand,2013,30.725967,38522680.528,32717903.843,THA,420333203150.426,68781162533.3594
656,Turkey,2013,1.9037683,4486234.345,17746990.917,TUR,957783020853.031,134265708582.834
657,United States,2013,1.0,153394862.034,369063858.557,USA,16843190993000.0,2532646000000.0
658,Vietnam,2013,20933.416,16891892.668,48586298.201,VNM,213708830436.648,23328810915.0381
659,South Africa,2013,9.655056,48388425.446,16830776.066,ZAF,400886013595.573,76494561791.4655
660,United Arab Emirates,2014,3.6724999,15763356.629,39034507.149,ARE,414105366758.911,44070401007.4881
661,Argentina,2014,8.0752764,5246944.098,7679829.418,ARG,526319673731.638,89210530677.4557
662,Australia,2014,1.1093633,97630887.218,39145950.36,AUS,1467545212521.8,274271550537.042
663,Brazil,2014,2.352952,51653224.893,34890134.489,BRA,2455993625159.37,470409689630.259
664,Canada,2014,1.1047472,25182010.414,30003678.663,CAN,1805749878439.94,365963384878.333
665,Switzerland,2014,0.91615105,40541086.244,3109862.912,CHE,726537808338.0,83418429992.0813
666,China,2014,6.143434,,,CHN,10475682920594.5,1656943445134.62
667,Germany,2014,0.75272822,105012759.989,72703048.969,DEU,3889093051023.52,761835417268.625
668,"Egypt, Arab Rep",2014,7.0776086,,,EGY,305595408895.265,36212338593.9742
669,Spain,2014,0.75272822,6203607.216,21501636.106,ESP,1371820537888.62,269862349819.999
670,France,2014,0.75272822,27074419.529,28975790.976,FRA,2855964488590.19,689026931784.311
671,United Kingdom,2014,0.60772961,23726733.122,57141135.496,GBR,3065223279583.79,609376248287.116
672,Indonesia,2014,11865.211,24485246.982,39059605.524,IDN,890814755233.225,83959519785.6948
673,India,2014,61.029514,16358690.559,54217421.728,IND,2039127446299.3,212902376803.132
674,"Iran, Islamic Rep",2014,25941.664,,,IRN,460382791826.34,59021653891.594
675,Italy,2014,0.75272822,19281902.871,28756397.409,ITA,2162009615996.54,422435350895.293
676,Japan,2014,105.94478,162920512.065,149391340.472,JPN,4896994405353.29,975783790301.09
677,"Korea, Rep",2014,1052.84,,,KOR,1484318219633.63,225990749133.301
678,Mexico,2014,13.29245,11173418.355,32255386.103,MEX,1315351183524.54,160406576791.424
679,Malaysia,2014,3.2728598,55652242.622,46353387.874,MYS,338061963396.376,45059427419.1084
680,Netherlands,2014,0.75272822,9340125.852,64928515.588,NLD,892167986713.722,229119887766.666
681,Philippines,2014,44.395153,20984132.158,23473577.223,PHL,297483247101.038,31417719426.875
682,Russian Federation,2014,38.378208,41593505.497,53676944.136,RUS,2059241965490.83,371226373305.679
683,Saudi Arabia,2014,3.75,48508025.98,20575241.927,SAU,756350347320.381,197108217821.486
684,Singapore,2014,1.26705,30828733.314,48911174.763,SGP,314851156183.411,30323415673.5854
685,Thailand,2014,32.479832,38331928.398,34289227.963,THA,407339454060.678,68907012974.2178
686,Turkey,2014,2.1885424,3705395.699,19305457.61,TUR,938952628604.067,131640968425.862
687,United States,2014,1.0,160064513.783,397099249.674,USA,17550680174000.0,2566254000000.0
688,Vietnam,2014,21148.0,19906397.835,63730014.143,VNM,233451484773.974,24086266313.5994
689,South Africa,2014,10.852655,44568129.974,15699145.579,ZAF,381198869776.106,73624988316.5505
690,United Arab Emirates,2015,3.6724999,11514031.96,37020164.366,ARE,370275469560.166,44511095983.6624
691,Argentina,2015,9.2331858,5717476.184,8805106.457,ARG,594749285413.212,107639984288.54
692,Australia,2015,1.3310902,73509970.806,40306508.77,AUS,1350615691821.28,257946584574.424
693,Brazil,2015,3.3269043,44089358.062,27412225.426,BRA,1802214373741.32,356420691845.261
694,Canada,2015,1.2787862,26213745.786,29422642.319,CAN,1556508816217.14,324965188724.922
695,Switzerland,2015,0.9623813,41200165.571,3195333.673,CHE,694118186379.628,80084350929.605
696,China,2015,6.2274885,,,CHN,11061553079876.4,1793950153875.55
697,Germany,2015,0.90129644,87623361.068,69154833.607,DEU,3357585719351.56,661167607626.562
698,"Egypt, Arab Rep",2015,7.6912584,,,EGY,329366576819.407,38733153638.814
699,Spain,2015,0.90129644,5587168.575,21855810.76,ESP,1196156971279.69,233460373906.641
700,France,2015,0.90129644,24631699.637,27051526.502,FRA,2439188643162.5,580719046953.125
701,United Kingdom,2015,0.65454549,18933743.502,59567065.46,GBR,2934857946213.47,572469006449.675
702,Indonesia,2015,13389.413,19886194.033,34341964.72,IDN,860854235065.079,83928241330.1856
703,India,2015,64.151947,13368553.464,58228027.086,IND,2103587813812.75,219368252547.408
704,"Iran, Islamic Rep",2015,29011.492,,,IRN,408212918053.939,63553947570.1797
705,Italy,2015,0.90129644,16819824.938,27834410.422,ITA,1836637711060.55,350987745871.875
706,Japan,2015,121.04403,142902572.984,135616442.813,JPN,4444930651964.18,871995122465.117
707,"Korea, Rep",2015,1130.9525,,,KOR,1465773245547.15,221090343298.789
708,Mexico,2015,15.848267,10027517.434,33791755.144,MEX,1171867608197.72,144341228964.621
709,Malaysia,2015,3.9055002,53277330.687,43980386.746,MYS,301354756113.174,39436947893.9957
710,Netherlands,2015,0.90129644,8777760.827,59453380.174,NLD,765572770634.375,191228984750.781
711,Philippines,2015,45.502838,18965654.304,26670791.21,PHL,306446140628.709,33438304752.6746
712,Russian Federation,2015,60.937649,33258662.857,34756877.25,RUS,1363481063446.77,242227717816.721
713,Saudi Arabia,2015,3.75,30021050.937,21612927.984,SAU,654269739552.019,196303783007.934
714,Singapore,2015,1.374825,27580763.34,51942439.609,SGP,308004146057.608,31388420133.8377
715,Thailand,2015,34.247715,37168745.238,38290804.015,THA,401296437424.995,68706570076.2387
716,Turkey,2015,2.7200086,2943637.695,18607841.074,TUR,864316670330.882,119320406911.765
717,United States,2015,1.0,148693056.205,409979244.393,USA,18206020741000.0,2608983000000.0
718,Vietnam,2015,21697.568,29831745.312,66017019.778,VNM,239258340825.533,25492765951.7593
719,South Africa,2015,12.758931,30151410.452,15857921.952,ZAF,346709790458.563,65823101021.9047
720,United Arab Emirates,2016,3.6724999,9994362.641,30066955.63,ARE,369255326235.771,44725287978.2165
721,Argentina,2016,14.758175,5118095.612,7200837.601,ARG,557531376217.967,98429812727.8394
722,Australia,2016,1.345214,70895012.7,37282496.549,AUS,1206535157956.03,239729218226.816
723,Brazil,2016,3.4913135,45855047.246,21976152.765,BRA,1795700168991.49,365951078366.225
724,Canada,2016,1.3256152,18336833.947,27312227.873,CAN,1527994741907.43,321612947451.906
725,Switzerland,2016,0.98539442,39945437.599,3198285.713,CHE,687895460902.713,79210899164.712
726,China,2016,6.6444778,,,CHN,11233276536737.2,1838185914067.27
727,Germany,2016,0.90342146,86109029.796,65214030.647,DEU,3469853463945.53,690542613848.64
728,"Egypt, Arab Rep",2016,10.025401,,,EGY,332441717791.411,37987730061.3497
729,Spain,2016,0.90342146,6135761.96,21310945.566,ESP,1233554967011.68,235618717308.561
730,France,2016,0.90342146,22511003.294,24958617.484,FRA,2472964344587.17,586893313265.371
731,United Kingdom,2016,0.74063444,18681446.581,55664076.103,GBR,2699659680997.2,516538209807.73
732,Indonesia,2016,13308.327,21414036.371,32117494.749,IDN,931877364177.742,88787505533.1749
733,India,2016,67.195313,11764125.238,58397760.569,IND,2294797980509.01,236560353038.526
734,"Iran, Islamic Rep",2016,30914.852,,,IRN,457954614142.539,72268419756.3264
735,Italy,2016,0.90342146,16713185.425,26360471.715,ITA,1877071687633.78,357142289357.978
736,Japan,2016,108.7929,145670688.473,129268487.384,JPN,5003677627544.24,983585325457.22
737,"Korea, Rep",2016,1160.7675,,,KOR,1500111596236.37,228617342451.536
738,Mexico,2016,18.664059,10324735.851,32356651.525,MEX,1078490651625.31,129531181948.232
739,Malaysia,2016,4.1483006,49269636.528,37660220.746,MYS,301255454041.415,37852373261.336
740,Netherlands,2016,0.90342146,9809798.27,57447210.217,NLD,784060430240.08,193533154055.253
741,Philippines,2016,47.492462,17395891.173,29836566.657,PHL,318626761492.867,35870897588.0402
742,Russian Federation,2016,67.055931,32260147.552,37339600.736,RUS,1276786979221.81,235770454203.135
743,Saudi Arabia,2016,3.75,23626019.106,18650906.502,SAU,644935682011.475,166568578942.653
744,Singapore,2016,1.3815464,26014248.91,44495953.063,SGP,318832428519.725,32725588128.8455
745,Thailand,2016,35.296383,38532342.814,37182731.174,THA,413366150655.591,69714956766.1291
746,Turkey,2016,3.0201347,2785414.654,16686640.52,TUR,869692960365.551,128133716069.004
747,United States,2016,1.0,135120133.073,385677759.424,USA,18695110842000.0,2663108000000.0
748,Vietnam,2016,21935.0,37171603.826,61094096.781,VNM,257096001564.769,26733810741.4156
749,South Africa,2016,14.709611,22228893.549,12849507.644,ZAF,323585509674.481,62476471785.5977
750,United Arab Emirates,2017,3.6724999,12311158.312,28723965.341,ARE,390516804016.501,50945949625.5956
751,Argentina,2017,16.562706,4754226.912,9067210.848,ARG,643628665302.155,113902282152.065
752,Australia,2017,1.3047581,95009120.929,41438227.66,AUS,1326516328531.56,262936873067.35
753,Brazil,2017,3.1913896,58857155.273,28950538.235,BRA,2063507864886.88,416042489127.029
754,Canada,2017,1.2979358,20423006.604,31375454.689,CAN,1649265644244.09,341452931752.066
755,Switzerland,2017,0.98469168,33019013.515,3206730.094,CHE,695200833086.499,80013385577.5496
756,China,2017,6.7587552,,,CHN,12310409370892.8,2009657368066.82
757,Germany,2017,0.88520551,96940109.119,71134400.096,DEU,3690849152517.65,732280802530.589
758,"Egypt, Arab Rep",2017,17.782534,,,EGY,235733695652.174,23790760869.5652
759,Spain,2017,0.88520551,8028042.999,22918279.284,ESP,1313245330197.65,245096757728.236
760,France,2017,0.88520551,26805210.3,27963501.958,FRA,2595151045197.65,613597627811.766
761,United Kingdom,2017,0.7769767,22328955.902,56713517.329,GBR,2683399006715.79,499367699594.339
762,Indonesia,2017,13380.834,28574305.51,34757384.544,IDN,1015618742565.81,92630230049.5562
763,India,2017,65.121567,16345370.678,68042252.505,IND,2651472946375.05,285489367368.501
764,"Iran, Islamic Rep",2017,33226.297,,,IRN,486630146443.617,78164055517.559
765,Italy,2017,0.88520551,20497942.487,29199961.821,ITA,1961796197354.36,369408004068.236
766,Japan,2017,112.16614,165794005.814,137258933.31,JPN,4930837369151.42,957164068982.6
767,"Korea, Rep",2017,1131.0009,,,KOR,1623901496835.79,250388924657.16
768,Mexico,2017,18.926517,11803239.382,35905386.995,MEX,1158913035796.37,134626250019.813
769,Malaysia,2017,4.3004408,54426139.443,41712282.701,MYS,319112175611.571,38908008557.3435
770,Netherlands,2017,0.88520551,11272042.836,67131666.962,NLD,833869641687.06,202767604045.883
771,Philippines,2017,50.403721,19239177.209,32065932.447,PHL,328480867142.69,37195091830.5601
772,Russian Federation,2017,58.3428,41390293.056,42830599.817,RUS,1574199387070.9,286768890077.267
773,Saudi Arabia,2017,3.75,31761873.271,18375008.211,SAU,688586094412.68,168260836992.269
774,Singapore,2017,1.3809251,34249623.689,45019300.478,SGP,343193352161.634,34982620030.4149
775,Thailand,2017,33.939812,41596082.905,38541726.588,THA,456356961443.497,74378900288.1573
776,Turkey,2017,3.6481326,3783430.252,18121507.516,TUR,858996263095.858,123525856665.113
777,United States,2017,1.0,154441855.874,430328146.524,USA,19477336549000.0,2726560000000.0
778,Vietnam,2017,22370.086,50374616.976,71617248.156,VNM,281353625688.004,28514983359.4521
779,South Africa,2017,13.323801,24388596.208,14808766.628,ZAF,381448814653.456,73375788190.4018
780,United Arab Emirates,2018,3.6724999,16237766.589,29651248.093,ARE,427049432149.345,49902518720.2178
781,Argentina,2018,28.094992,3516448.06,8418070.603,ARG,524819742918.669,82948270261.6124
782,Australia,2018,1.3384122,105810855.895,47330059.327,AUS,1428288504767.07,284167893961.708
783,Brazil,2018,3.6538253,77569499.985,33665139.187,BRA,1916947014067.55,381378291148.941
784,Canada,2018,1.295818,28359370.499,35153242.971,CAN,1725329192783.02,356824339257.404
785,Switzerland,2018,0.97789168,38647609.029,4067598.648,CHE,725568717468.001,81734741022.276
786,China,2018,6.6159573,,,CHN,13894817549374.2,2297620399643.29
787,Germany,2018,0.84677267,106323509.875,77489342.157,DEU,3974443355019.6,790232167371.764
788,"Egypt, Arab Rep",2018,17.76729,,,EGY,249712999437.254,20855374226.224
789,Spain,2018,0.84677267,8750222.741,24955165.377,ESP,1421702715218.04,266063146286.274
790,France,2018,0.84677267,32212626.915,31085267.736,FRA,2790956878746.66,649500180347.451
791,United Kingdom,2018,0.74953157,23870561.399,56542925.41,GBR,2878152147315.82,531440446229.708
792,Indonesia,2018,14236.938,34151845.17,43191405.11,IDN,1042271531011.99,94025730841.8577
793,India,2018,68.389465,18833346.931,76675655.636,IND,2702929718960.46,292543990083.363
794,"Iran, Islamic Rep",2018,40864.328,,,IRN,331682036227.963,52428693962.329
795,Italy,2018,0.84677267,21061508.116,33171610.391,ITA,2091932426266.98,394974959621.961
796,Japan,2018,110.42318,180660538.752,147048752.77,JPN,5037835383110.97,986186058487.334
797,"Korea, Rep",2018,1100.1633,,,KOR,1724845615629.26,276867514766.015
798,Mexico,2018,19.244341,14008909.646,44009918.081,MEX,1222408203104.3,141436635886.99
799,Malaysia,2018,4.03513,63205046.045,45375989.58,MYS,358791603677.728,42945404079.205
800,Netherlands,2018,0.84677267,12332749.097,72834750.636,NLD,914043438179.6072,222741011048.627
801,Philippines,2018,52.66143,20611587.611,35036641.694,PHL,346842094175.24,41769443015.1876
802,Russian Federation,2018,62.668133,59141093.545,47965272.79,RUS,1657329646183.62,293519350355.284
803,Saudi Arabia,2018,3.75,45854380.353,17428036.04,SAU,816578674529.141,196328944359.256
804,Singapore,2018,1.3488417,33727771.702,49042623.656,SGP,376998146500.593,37599866548.0427
805,Thailand,2018,32.310226,44629636.653,42878717.313,THA,506754616189.315,81962321495.9982
806,Turkey,2018,4.8283701,3756859.617,17788595.0,TUR,778471900960.981,114315726451.827
807,United States,2018,1.0,156015756.423,479278747.159,USA,20533057312000.0,2866932000000.0
808,Vietnam,2018,22602.051,63956351.155,83876687.84,VNM,310106472642.968,30222633787.6432
809,South Africa,2018,13.233927,27304126.396,16248380.726,ZAF,404159690890.846,78451299851.6537
810,United Arab Emirates,2019,3.6724999,15336738.558,33412894.763,ARE,417989721734.494,51225237413.2063
811,Argentina,2019,48.147892,7390979.168,6884154.384,ARG,447754609218.678,73625372107.6101
812,Australia,2019,1.4385066,121289663.171,48229553.588,AUS,1392227864397.08,282072664854.813
813,Brazil,2019,3.9444711,79962547.047,35539063.912,BRA,1873274432754.47,374347318925.086
814,Canada,2019,1.3267933,28152088.586,36931958.466,CAN,1742015045482.31,362923883666.842
815,Switzerland,2019,0.99370915,27402267.801,4597730.847,CHE,721369112726.724,81910768534.1249
816,China,2019,6.9083848,,,CHN,14279937500606.5,2394818476696.49
817,Germany,2019,0.89327627,105087088.345,79789085.186,DEU,3888226035921.56,787165218415.685
818,"Egypt, Arab Rep",2019,16.770582,,,EGY,303080865603.645,23217539863.3257
819,Spain,2019,0.89327627,8603821.571,26899372.435,ESP,1394320055129.41,262995907639.215
820,France,2019,0.89327627,32591687.879,33331864.152,FRA,2728870246705.88,627191191490.195
821,United Kingdom,2019,0.78344512,23931236.009,62425024.434,GBR,2857057847953.02,543214827128.757
822,Indonesia,2019,14147.671,34113874.419,45648736.997,IDN,1119099868265.25,98575590610.0774
823,India,2019,70.420341,17985879.105,74825299.13,IND,2831552222519.99,310432240169.542
824,"Iran, Islamic Rep",2019,42000.0,,,IRN,283746685180.338,43414025157.519
825,Italy,2019,0.89327627,21424348.961,33519784.047,ITA,2011302198827.45,374477657223.529
826,Japan,2019,109.00967,171768695.64,143244518.385,JPN,5123318151510.62,1020901211652.27
827,"Korea, Rep",2019,1165.3575,,,KOR,1651422932447.77,282027789755.504
828,Mexico,2019,19.263634,14334537.512,46382164.507,MEX,1269011767478.56,144584198436.429
829,Malaysia,2019,4.1424699,71909977.087,52141790.587,MYS,365175135787.568,42554254677.1273
830,Netherlands,2019,0.89327627,11202229.065,73978795.554,NLD,910194347568.626,224044911545.098
831,Philippines,2019,51.795784,20199393.176,40763851.931,PHL,376823278560.849,46981401007.7699
832,Russian Federation,2019,64.737656,61190631.855,49748486.51,RUS,1693113904262.89,306476751568.252
833,Saudi Arabia,2019,3.75,54195936.612,23876505.592,SAU,803616264791.024,192342084476.383
834,Singapore,2019,1.3641584,35237818.934,54798488.296,SGP,375472731271.075,38585984459.7566
835,Thailand,2019,31.047606,46161650.699,45584838.927,THA,544081056184.697,87999330060.9387
836,Turkey,2019,5.6738195,3496819.906,17323704.712,TUR,759937390496.669,117293889791.674
837,United States,2019,1.0,123792114.896,419322648.638,USA,21380976119000.0,3008779000000.0
838,Vietnam,2019,23050.242,64116674.838,97868882.174,VNM,334365257436.758,32028301898.4569
839,South Africa,2019,14.448427,25948855.607,16542941.878,ZAF,388531954110.604,76444141621.3041
840,United Arab Emirates,2020,3.6724999,17054552.303,32310092.207,ARE,349473015336.939,50499233955.0715
841,Argentina,2020,70.539169,6814456.938,7083804.68,ARG,385540224628.292,65123272712.1941
842,Australia,2020,1.4530851,117693742.899,53468167.172,AUS,1326901059123.21,288495776913.795
843,Brazil,2020,5.155179,85517209.22,34953227.525,BRA,1448559976218.19,296654473890.441
844,Canada,2020,1.3411527,22063322.622,42094313.388,CAN,1645423407568.36,372718938233.278
845,Switzerland,2020,0.93896502,17494678.177,5091730.421,CHE,739913619797.445,89823115008.743
846,China,2020,6.9007673,,,CHN,14687673892882.0,2516018432645.49
847,Germany,2020,0.8755064,105110505.822,86807061.051,DEU,3889668895299.62,854360405101.948
848,"Egypt, Arab Rep",2020,15.759173,,,EGY,365252651278.852,28939488459.1391
849,Spain,2020,0.8755064,10387597.055,27517998.269,ESP,1276962685648.25,281375442655.254
850,France,2020,0.8755064,29712349.181,37335184.945,FRA,2639008701648.26,658037453503.504
851,United Kingdom,2020,0.77999955,19871556.472,72561343.658,GBR,2704609160088.15,609120843387.932
852,Indonesia,2020,14582.203,37480543.305,40980976.642,IDN,1058688935454.78,101086757921.778
853,India,2020,74.099564,20977286.374,66719471.588,IND,2667687951796.5,322437176354.328
854,"Iran, Islamic Rep",2020,42000.0,,,IRN,239735571102.495,34597841653.5999
855,Italy,2020,0.8755064,22249447.13,32914226.693,ITA,1896755301518.14,392435739112.842
856,Japan,2020,106.77458,174655178.945,142596624.652,JPN,5040107754084.11,1060038799513.23
857,"Korea, Rep",2020,1180.2659,,,KOR,1644312831906.17,296623269097.52
858,Mexico,2020,21.485609,16217413.252,44827693.169,MEX,1090515389749.41,136961266057.266
859,Malaysia,2020,4.2034822,75174350.512,56300820.689,MYS,337337932675.152,44103247293.9217
860,Netherlands,2020,0.8755064,12789316.578,79006012.371,NLD,909793466661.481,237050238255.254
861,Philippines,2020,49.624096,19335468.064,41880388.818,PHL,361751116292.541,55208482332.7065
862,Russian Federation,2020,72.104912,57844468.529,50504392.053,RUS,1489362488439.76,298183618589.028
863,Saudi Arabia,2020,3.75,39069814.042,28094807.843,SAU,703367841222.555,202965892015.256
864,Singapore,2020,1.3797417,31616281.621,57624786.426,SGP,345295933898.674,42561208958.4692
865,Thailand,2020,31.293673,48139504.471,50513175.951,THA,499681757030.968,89146665303.2399
866,Turkey,2020,7.0086055,3731026.547,20346420.257,TUR,720289368333.191,109294312088.006
867,United States,2020,1.0,136339520.982,452492876.334,USA,21060473613000.0,3138376000000.0
868,Vietnam,2020,23208.369,78473071.644,113815239.354,VNM,346615750664.384,32855058578.1595
869,South Africa,2020,16.459105,20824537.983,15238825.618,ZAF,337619680138.494,70199549637.9626
