,countryname,year,exchange rate (to $USD),import (thousand $USD),export (thousand $USD),countrycode,GDP(current $USD),general government final consumption expenditure (Current $USD)
146,Turkey,1996,0.081404895,94099.128,406604.512,TUR,181475555282.555,20998124078.6241
147,United States,1996,1.0,16155120.64,26705627.136,USA,8073122000000.0,1172889000000.0
148,Vietnam,1996,11032.583,309361.504,842128.0,VNM,24657470574.7501,2059532732.43053
149,South Africa,1996,4.2993493,672052.032,688206.528,ZAF,163236785802.34,28443560858.7444
150,United Arab Emirates,1997,3.6711249,84469.624,1301152.64,ARE,78839008444.5655,
151,Argentina,1997,0.99949998,722201.728,465661.056,ARG,292859000000.0,35324694300.0
152,Australia,1997,1.34738,3247546.368,2056187.136,AUS,435614337141.963,79564877132.5716
153,Brazil,1997,1.0779917,1488961.28,1044389.312,BRA,883206452805.504,172536984232.329
154,Canada,1997,1.384598,2006902.912,1906506.368,CAN,654986999855.554,130036833742.597
155,Switzerland,1997,1.4513125,872518.656,613555.264,CHE,294788198856.198,34284108041.0666
156,China,1997,8.2898169,,,CHN,961603952951.82,132245900546.455
157,Germany,1997,1.7340559,6181203.968,6496908.288,DEU,2211989623279.95,428127678772.84
158,"Egypt, Arab Rep",1997,3.3887501,,,EGY,78436578171.0914,8879056047.19764
159,Spain,1997,146.41364,555432.64,1265874.432,ESP,590077272727.273,100352272727.273
160,France,1997,5.8366919,3246634.496,2336796.416,FRA,1452884917959.09,339988761519.443
161,United Kingdom,1997,0.61083609,1978407.424,3815184.64,GBR,1561807465618.86,250992141453.831
162,Indonesia,1997,2909.3799,2673537.792,1840971.264,IDN,215748998609.635,14763283406.1994
163,India,1997,36.313286,897228.672,933720.384,IND,415867753863.874,45864915940.7185
164,"Iran, Islamic Rep",1997,1753.3455,,,IRN,113919163421.155,13206336896.0245
165,Italy,1997,1703.0969,2452056.576,2238938.368,ITA,1241879604365.62,219599818099.136
166,Japan,1997,120.99086,28994779.136,31838564.352,JPN,4492448605638.94,687431864710.487
167,"Korea, Rep",1997,949.89001,,,KOR,569754543829.957,58173532781.8016
168,Mexico,1997,7.9184599,184291.6,413521.056,MEX,500413483109.175,41342172507.4193
169,Malaysia,1997,2.8131917,2495009.28,1921830.016,MYS,100005323301.867,10767620129.1788
170,Netherlands,1997,1.9512699,1072549.184,4405972.992,NLD,416812740004.518,87493788118.3646
171,Philippines,1997,29.470659,326804.48,1339588.096,PHL,94106183450.0029,11869201522.1898
172,Russian Federation,1997,5.7848334,4085680.128,2038035.072,RUS,404928954191.876,85306828003.4572
173,Saudi Arabia,1997,3.75,825870.976,854249.024,SAU,165963557409.88,43202937249.6662
174,Singapore,1997,1.4848058,4464694.272,4323301.376,SGP,100124191810.345,8770743534.48276
175,Thailand,1997,31.364334,2013842.176,1501050.112,THA,150180619366.605,18147575428.1141
176,Turkey,1997,0.15186501,64519.44,556780.416,TUR,189834649111.257,23272573403.555
177,United States,1997,1.0,16301508.608,32740595.712,USA,8577554457000.0,1220528000000.0
178,Vietnam,1997,11683.333,357092.032,1079720.448,VNM,26843700441.5482,2182602555.48694
179,South Africa,1997,4.6079617,794458.816,799979.584,ZAF,168976663845.486,29557189887.1528
180,United Arab Emirates,1998,3.6724999,161630.48,1291306.368,ARE,75674336283.1858,
181,Argentina,1998,0.99949998,724455.04,549713.408,ARG,298948250000.0,37352911200.0
182,Australia,1998,1.5918283,2682453.504,2364941.312,AUS,399660855999.457,72975649460.761
183,Brazil,1998,1.1605166,1133103.36,1085363.968,BRA,863711007313.877,173351390525.101
184,Canada,1998,1.4835052,2237152.512,2126854.656,CAN,634000000000.0,125764071452.646
185,Switzerland,1998,1.4498134,795508.544,634264.256,CHE,303459014346.806,34394927576.2174
186,China,1998,8.2789583,,,CHN,1029043097554.08,153800891215.229
187,Germany,1998,1.7596676,7020603.392,7354289.152,DEU,2238990774702.68,427605868622.874
188,"Egypt, Arab Rep",1998,3.388,,,EGY,84828807556.0803,9592680047.2255
189,Spain,1998,149.39532,480207.136,1544062.08,ESP,619214834614.099,104385789063.37
190,France,1998,5.8995156,3205107.712,2830753.536,FRA,1503108739159.44,339931065154.547
191,United Kingdom,1998,0.6038236,1952563.2,4631759.36,GBR,1655061278569.06,266040079496.522
192,Indonesia,1998,10013.622,2460822.016,1170155.776,IDN,95445547872.715,5434199705.76814
193,India,1998,41.259365,905707.584,1016671.552,IND,421351477504.743,50182496700.1251
194,"Iran, Islamic Rep",1998,1752.286,,,IRN,110276913362.508,14390152102.4017
195,Italy,1998,1736.2074,2278980.352,2577505.792,ITA,1270052525928.4,222620720419.315
196,Japan,1998,130.9053,28275038.208,29660094.464,JPN,4098362709531.24,642025189201.659
197,"Korea, Rep",1998,1403.1833,,,KOR,383330931042.356,43711254138.6003
198,Mexico,1998,9.1360416,147482.576,689218.624,MEX,526502129378.284,44979754268.8266
199,Malaysia,1998,3.9243751,2673791.488,1596371.968,MYS,72167498980.8398,7050040766.40848
200,Netherlands,1998,1.9837331,834329.92,5161733.632,NLD,438008220395.468,91226394134.6367
201,Philippines,1998,40.893051,514340.288,1512024.576,PHL,74492325248.0247,9588240779.006727
202,Russian Federation,1998,9.7050829,3640993.792,1839908.224,RUS,270955486862.442,50757341576.507
203,Saudi Arabia,1998,3.75,803585.088,895811.968,SAU,146775498080.0,41384533333.3333
204,Singapore,1998,1.6736016,4235350.784,3943927.04,SGP,85728310229.4455,8138742829.82792
205,Thailand,1998,41.359386,2413936.128,1258072.064,THA,113675561057.462,14851134204.0745
206,Turkey,1998,0.26072425,42772.948,659063.168,TUR,275967393939.394,29289035289.6049
207,United States,1998,1.0,16883462.144,37983571.968,USA,9062818202000.0,1267607000000.0
208,Vietnam,1998,13268.0,217350.288,1028281.92,VNM,27209602050.0452,2074389508.5921
209,South Africa,1998,5.5282841,698861.184,898680.512,ZAF,152982541794.042,26160054700.36
210,United Arab Emirates,1999,3.6724999,189451.67,1443757.159,ARE,84445473110.9598,
211,Argentina,1999,0.99949998,590784.242,496109.819,ARG,283523000000.0,38908460700.0
212,Australia,1999,1.54995,3607136.936,2704384.688,AUS,389389647825.542,72717759117.6839
213,Brazil,1999,1.8139329,968529.665,876002.206,BRA,599642075029.835,118625337428.189
214,Canada,1999,1.4857048,2333974.834,2432943.097,CAN,678412196271.118,131074241098.472
215,Switzerland,1999,1.5021549,1011311.561,675141.48,CHE,297873643323.126,33814618559.4461
216,China,1999,8.2782497,,,CHN,1093997267271.06,179040211821.268
217,Germany,1999,0.93828309,8335356.901,7779618.801,DEU,2194945278872.59,422454599962.163
218,"Egypt, Arab Rep",1999,3.3952501,,,EGY,90710704806.8416,10527867885.5795
219,Spain,1999,0.93828309,541467.416,1821186.045,ESP,634907542858.302,106604289198.842
220,France,1999,0.93828309,3785342.517,2930014.89,FRA,1493151737698.46,337915080563.707
221,United Kingdom,1999,0.61805683,2994765.171,4880019.142,GBR,1689289758938.68,278616728684.679
222,Indonesia,1999,7855.1499,3050879.101,1779047.386,IDN,140001351215.462,9246328959.29841
223,India,1999,43.055428,825746.781,1161927.746,IND,458820417337.807,55863632218.8941
224,"Iran, Islamic Rep",1999,1753.355,,,IRN,113848450088.351,13452671230.1534
225,Italy,1999,0.93828309,2679879.146,2929805.436,ITA,1252446659833.79,219769498210.811
226,Japan,1999,113.90681,33763350.549,32410577.501,JPN,4635982224063.88,751806740247.29
227,"Korea, Rep",1999,1189.4392,,,KOR,497512659612.052,55106660385.9289
228,Mexico,1999,9.5603971,159237.339,791678.257,MEX,600232874042.927,55092447491.7367
229,Malaysia,1999,3.8,3605547.087,1673725.395,MYS,79148421052.6316,8695789473.68421
230,Netherlands,1999,0.93828309,1010546.023,5412926.739,NLD,447049523049.808,92064966896.9114
231,Philippines,1999,39.088982,907504.137,1379255.115,PHL,85640133799.7902,10141083749.9041
232,Russian Federation,1999,24.6199,4222617.865,1497261.095,RUS,195907128350.934,28562144597.8879
233,Saudi Arabia,1999,3.75,911589.743,943821.749,SAU,161716960000.0,41092000000.0
234,Singapore,1999,1.6949567,4061047.4,4502208.047,SGP,86284660766.9617,8099351032.44838
235,Thailand,1999,37.813656,2780355.684,1435189.163,THA,126669064386.717,17187791726.2791
236,Turkey,1999,0.41878292,47300.742,636582.025,TUR,256385525071.633,32480359598.8539
237,United States,1999,1.0,19486929.714,42004219.558,USA,9631174489000.0,1351427000000.0
238,Vietnam,1999,13943.167,354275.245,963833.903,VNM,28683659006.7752,1946253342.90187
239,South Africa,1999,6.1094842,864369.492,882479.229,ZAF,151516560274.982,25470738620.1817
240,United Arab Emirates,2000,3.6724999,416067.15,2078437.246,ARE,104337372362.151,
241,Argentina,2000,0.99949998,929989.911,610303.235,ARG,284203750000.0,39175188600.0
242,Australia,2000,1.7248267,5024006.965,3428876.665,AUS,415851284305.721,76806506311.6247
243,Brazil,2000,1.8294231,1621440.791,1223545.495,BRA,655448188237.371,123013504902.94
244,Canada,2000,1.4853941,3751083.275,3157837.461,CAN,744773415931.587,142299508450.609
245,Switzerland,2000,1.6888425,1462438.936,748004.361,CHE,279216033870.204,31160204879.2042
246,China,2000,8.2785044,,,CHN,1211346869605.24,203971792928.585
247,Germany,2000,1.0827051,10408730.507,9277789.992,DEU,1947981991011.77,370983758114.511
248,"Egypt, Arab Rep",2000,3.47205,,,EGY,99838543960.07628,11184500220.1673
249,Spain,2000,1.0827051,622995.856,2148687.674,ESP,598363313494.903,99913634715.2943
250,France,2000,1.0827051,3951247.029,3715888.368,FRA,1365639660792.16,304890967719.216
251,United Kingdom,2000,0.66093081,3592473.098,6310102.446,GBR,1666126494174.61,277963383265.244
252,Indonesia,2000,8421.7754,4401954.155,3061823.512,IDN,165021012077.81,10779164212.8096
253,India,2000,44.941605,1353476.989,1560736.215,IND,468394937262.37,55963056448.9827
254,"Iran, Islamic Rep",2000,1764.8561,,,IRN,109591707802.216,14172524682.1846
255,Italy,2000,1.0827051,3078428.124,3802021.692,ITA,1146676894209.73,203374865231.373
256,Japan,2000,107.7655,41509675.13,41654314.05,JPN,4968359075956.59,822223253267.511
257,"Korea, Rep",2000,1130.3625,,,KOR,576178114168.494,62803459008.2762
258,Mexico,2000,9.4555588,488281.236,1335244.842,MEX,707906744574.644,67358879499.9788
259,Malaysia,2000,3.8,5479996.864,2564874.255,MYS,93789736842.1053,9533947368.421047
260,Netherlands,2000,1.0827051,1236228.808,6687219.044,NLD,417479337444.707,85812841929.4119
261,Philippines,2000,44.192249,1677316.824,1464409.088,PHL,83669693589.1547,9256114753.02258
262,Russian Federation,2000,28.129168,5769892.36,2233350.097,RUS,259710142196.943,39193032349.8045
263,Saudi Arabia,2000,3.75,1953520.599,1144742.927,SAU,189514926213.333,49014400000.0
264,Singapore,2000,1.7239634,5059631.381,5761040.961,SGP,96074477958.23668,10091821345.7077
265,Thailand,2000,40.111805,4380787.064,2243252.811,THA,126392233706.79,17158965690.8939
266,Turkey,2000,0.62521851,126745.962,1077894.816,TUR,274302959053.103,32720659628.9187
267,United States,2000,1.0,22374570.453,52156428.118,USA,10250947997000.0,1437588000000.0
268,Vietnam,2000,14167.75,929147.138,1537258.771,VNM,31172518403.3162,2000734087.16574
269,South Africa,2000,6.9398284,1037289.908,1013645.537,ZAF,151753369491.916,25141307616.9342
270,United Arab Emirates,2001,3.6724999,447609.537,2377322.092,ARE,103311640571.818,10242340340.3676
271,Argentina,2001,0.99949998,1281026.505,573695.719,ARG,268696750000.0,38037449000.0
272,Australia,2001,1.9334425,5425925.47,3569445.889,AUS,379358162498.658,70090157776.1082
273,Brazil,2001,2.3496318,2347232.533,1350925.018,BRA,559991261406.197,108320761746.68
274,Canada,2001,1.5488399,4027798.934,3345577.043,CAN,738981792355.372,144170325413.223
275,Switzerland,2001,1.687615,1730429.171,652969.247,CHE,286582672434.226,31993423204.5508
276,China,2001,8.2770681,,,CHN,1339395718865.3,219840903976.03
277,Germany,2001,1.116533,13772189.97,9751099.988,DEU,1945790973803.15,368706494498.819
278,"Egypt, Arab Rep",2001,3.973,,,EGY,96684636118.5984,10943396226.4151
279,Spain,2001,1.116533,714406.689,2296288.991,ESP,627830029412.205,103872425717.717
280,France,2001,1.116533,4106236.413,3701082.564,FRA,1377657339291.34,305038878273.229
281,United Kingdom,2001,0.694655,3526938.584,6780522.858,GBR,1648658413703.76,285589463077.587
282,Indonesia,2001,10260.85,3887887.101,2835706.342,IDN,160446947784.909,11053285490.1216
283,India,2001,47.186413,1699093.454,1895832.787,IND,485441014538.638,57094901666.0516
284,"Iran, Islamic Rep",2001,1753.9857,,,IRN,126878750295.944,16331278175.0644
285,Italy,2001,1.116533,3784278.356,3991554.91,ITA,1168023426056.38,214914365803.544
286,Japan,2001,121.52895,42787308.141,44940523.792,JPN,4374711694090.87,753718662803.662
287,"Korea, Rep",2001,1290.79,,,KOR,547658231279.87,64377493241.6208
288,Mexico,2001,9.3423414,761275.612,1790216.774,MEX,756706300589.791,74771103261.5095
